Id,Nombre,Descripcion,Tipo,Imagen,Background,Icono,Orden,OrdenTipo,Plan
1,Ganado de Carne
,"Garantizar el  óptimo desempeño en el sector pecuario  va más allá del alimento adecuado, por lo que desarrollamos Programas Nutricionales Diferenciados®.",rumiantes,Content/img/header-ganado-carne.png,Content/img/bg-ganado-carne.jpg,Content/img/e-ganado-carne.svg,1,2,Content/brochure/MANUAL_GCARNE_12_06_14.pdf
2,Ganado Lechero,"Garantizar el  óptimo desempeño en el sector pecuario  va más allá del alimento adecuado, por lo que desarrollamos Programas Nutricionales Diferenciados®.",rumiantes,Content/img/header-ganado-lechero.png,Content/img/bg-ganado-lechero.jpg,Content/img/e-ganado-lechero.svg,2,2,Content/brochure/MANUAL_GLECHE_180614.pdf
3,Borregos,"Garantizar el  óptimo desempeño en el sector pecuario  va más allá del alimento adecuado, por lo que desarrollamos Programas Nutricionales Diferenciados®.",rumiantes,Content/img/header-borregos.png,Content/img/bg-borregos.jpg,Content/img/e-borregos.svg,3,2,
4,Cabras,"Garantizar el  óptimo desempeño en el sector pecuario  va más allá del alimento adecuado, por lo que desarrollamos Programas Nutricionales Diferenciados®.",rumiantes,Content/img/header-cabras.png,Content/img/bg-cabras.jpg,Content/img/e-cabras.svg,4,2,
5,Cerdos,"Las líneas más completas de alimentos para cerdos creadas por expertos nutriólogos y adaptadas a las necesidades de tu producción, integrando aditivos y la tecnología francesa de grupo Neovia®.",cerdos,Content/img/header-cerdos.png,Content/img/bg-cerdos.jpg,Content/img/e-cerdos.svg,1,3,Content/brochure/plan_de_alim_cerdos_api_aba.pdf
6,Aves Postura,"Las líneas más completas de alimentos para aves de postura creadas por expertos nutriólogos y adaptadas a las necesidades de tu producción, integrando aditivos y la tecnología francesa de grupo Neovia®.",aves,Content/img/header-aves-postura.png,Content/img/bg-aves-postura.jpg,Content/img/e-aves-postura.svg,1,4,Content/brochure/plan_de_alim_ave_de_postura_api_aba.pdf
7,Pollo Engorda," Las líneas más completas de alimentos para aves de engorda creadas por expertos nutriólogos y adaptadas a las necesidades de tu producción, integrando aditivos y la tecnología francesa de grupo Neovia®.",aves,Content/img/header-pollo-engorda.png,Content/img/bg-pollo-engorda.jpg,Content/img/e-pollo-engorda.svg,2,4,Content/brochure/plan_de_alim_ave_de_engorda_api_aba.pdf
8,Gallos,"El portafolio más completo para aves de combate, formulado especialmente para cada una de las etapas de la vida de tu gallo.",aves,Content/img/header-gallo.png,Content/img/bg-gallos.jpg,Content/img/e-gallos.svg,3,4,http://www.gallos.com.mx/
9,Pavos,"Garantizar el  óptimo desempeño en el sector pecuario  va más allá del alimento adecuado, por lo que desarrollamos Programas Nutricionales Diferenciados®.",aves,Content/img/header-pavos.png,Content/img/bg-pavos.jpg,Content/img/e-pavos.svg,4,4,Content/brochure/plan_de_alim_pavos_mc.pdf
10,Codornices,"Las líneas más completas de alimentos para codorniz creadas por expertos nutriólogos y adaptadas a las necesidades de tu producción, integrando aditivos y la tecnología francesa de grupo Neovia®.",aves,Content/img/header-codornices.png,Content/img/bg-codornices.jpg,Content/img/e-codornices.svg,5,4,Content/brochure/PLAN_CODORINIZ_TAMANO_CARTA.PDF
11,Caballos,"Ofrecer la nutrición adecuada a especies tan preciadas es lo que nos han inspirado a crear un portafolio específico para ellos, que les ayude a alcanzar un mayor potencial. Para ejemplares ganadores, contamos con marcas líderes como Pell Rol®, Caballo Ganador® y Royal Horse® (primera marca de nutrición equina Super Premium), que garantizan la salud y bienestar del caballo, con más de 50 años de éxito e innovación en Europa y Brasil.",caballos,Content/img/header-caballos.png,Content/img/bg-caballos.jpg,Content/img/e-caballos.svg,1,5,http://www.solocaballos.com.mx
12,Conejos,"Las líneas más completas de alimentos para conejos creadas por expertos nutriólogos y adaptadas a las necesidades de tu producción, integrando aditivos y la tecnología francesa de grupo Neovia®.",conejos,Content/img/header-conejos.png,Content/img/bg-conejos.jpg,Content/img/e-conejos.svg,1,6,http://www.maltacleyton.com.mx/SalesForce/Vuelvete_distribuidor
13,Camarones,"Sabemos que cultivar especies de calidad es clave para impulsar el sector acuícola en México y con esta certeza, maltaCleyton® cuenta con una diversa gama de productos que garantizan la nutrición Acuicola.",acuicultura,Content/img/header-camarones.png,Content/img/bg-camarones.jpg,Content/img/e-camarones.svg,1,7,Content/brochure/MAILING_API_CAMARON_ALTA.pdf
14,Truchas,"Sabemos que cultivar especies de calidad es clave para impulsar el sector acuícola en México y con esta certeza, maltaCleyton® cuenta con una diversa gama de productos que garantizan la nutrición Acuicola.",acuicultura,Content/img/header-truchas.png,Content/img/bg-truchas.jpg,Content/img/e-truchas.svg,2,7,Content/brochure/MAILING_TRUCHA_ALTA.pdf
15,Tilapias,"Sabemos que cultivar especies de calidad es clave para impulsar el sector acuícola en México y con esta certeza, maltaCleyton® cuenta con una diversa gama de productos que garantizan la nutrición Acuicola.",acuicultura,Content/img/header-tilapias.png,Content/img/bg-tilapias.jpg,Content/img/e-tilapias.svg,3,7,Content/brochure/MAILING_TILAPIA_ALTA.pdf
16,Bagres,"Sabemos que cultivar especies de calidad es clave para impulsar el sector acuícola en México y con esta certeza, maltaCleyton® cuenta con una diversa gama de productos que garantizan la nutrición Acuicola.",acuicultura,Content/img/header-bagres.png,Content/img/bg-bagres.jpg,Content/img/e-bagres.svg,4,7,Content/brochure/MAILING_BAGRE_ALTA.pdf
17,Perros,"Porque la salud y calidad de vida de cada mascota es la base de una larga historia de fraternidad, desarrollamos un amplio portafolio que incluye productos diseñados para cubrir las necesidades de nuestros clientes en los diferentes segmentos.",mascotas,Content/img/header-perros.png,Content/img/bg-perros.jpg,Content/img/e-perros.svg,1,8,http://www.ganador.com.mx/
18,Mininos,"Porque la salud y calidad de vida de cada mascota es la base de una larga historia de fraternidad, desarrollamos un amplio portafolio que incluye productos diseñados para cubrir las necesidades de nuestros clientes en los diferentes segmentos.",mascotas,Content/img/header-gatos.png,Content/img/bg-gatos.jpg,Content/img/e-gatos.svg,2,8,http://www.solomininos.com.mx/
